<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20131111;000000;101.7700000
SBER;D;20131112;000000;104.2500000
SBER;D;20131113;000000;101.8100000
SBER;D;20131114;000000;103.7000000
SBER;D;20131115;000000;103.6900000
SBER;D;20131118;000000;105.5000000
SBER;D;20131119;000000;106.1900000
SBER;D;20131120;000000;106.0000000
SBER;D;20131121;000000;104.7800000
SBER;D;20131122;000000;105.1000000
SBER;D;20131125;000000;105.3100000
SBER;D;20131126;000000;103.0200000
SBER;D;20131127;000000;102.7700000
SBER;D;20131128;000000;102.6900000
SBER;D;20131129;000000;103.0700000
SBER;D;20131202;000000;102.3600000
SBER;D;20131203;000000;100.2400000
SBER;D;20131204;000000;98.9500000
SBER;D;20131205;000000;98.2500000
SBER;D;20131206;000000;99.9000000
SBER;D;20131209;000000;101.0000000
SBER;D;20131210;000000;100.1600000
SBER;D;20131211;000000;100.6500000
SBER;D;20131212;000000;98.9600000
SBER;D;20131213;000000;98.9400000
SBER;D;20131216;000000;99.8500000
SBER;D;20131217;000000;100.1500000
SBER;D;20131218;000000;100.1800000
SBER;D;20131219;000000;101.7800000
SBER;D;20131220;000000;102.2000000
SBER;D;20131223;000000;102.4500000
SBER;D;20131224;000000;101.9600000
SBER;D;20131225;000000;101.6200000
SBER;D;20131226;000000;101.9500000
SBER;D;20131227;000000;100.6800000
SBER;D;20131230;000000;101.1700000
SBER;D;20140106;000000;98.9100000
SBER;D;20140108;000000;98.1900000
SBER;D;20140109;000000;98.0000000
SBER;D;20140110;000000;99.2000000
SBER;D;20140113;000000;100.2500000
SBER;D;20140114;000000;99.2400000
SBER;D;20140115;000000;100.7700000
SBER;D;20140116;000000;100.6500000
SBER;D;20140117;000000;101.1700000
SBER;D;20140120;000000;101.9600000
SBER;D;20140121;000000;102.2000000
SBER;D;20140122;000000;102.1700000
SBER;D;20140123;000000;101.7000000
SBER;D;20140124;000000;99.7000000
SBER;D;20140127;000000;97.7800000
SBER;D;20140128;000000;97.3600000
SBER;D;20140129;000000;95.9800000
SBER;D;20140130;000000;95.8000000
SBER;D;20140131;000000;94.7000000
SBER;D;20140203;000000;94.6600000
SBER;D;20140204;000000;94.0700000
SBER;D;20140205;000000;95.4500000
SBER;D;20140206;000000;96.6200000
SBER;D;20140207;000000;96.5300000
SBER;D;20140210;000000;95.4700000
SBER;D;20140211;000000;96.1200000
SBER;D;20140212;000000;96.8400000
SBER;D;20140213;000000;95.5000000
SBER;D;20140214;000000;96.6500000
SBER;D;20140217;000000;97.4900000
SBER;D;20140218;000000;96.6200000
SBER;D;20140219;000000;94.9000000
SBER;D;20140220;000000;94.6300000
SBER;D;20140221;000000;95.0000000
SBER;D;20140224;000000;94.6900000
SBER;D;20140225;000000;94.1700000
SBER;D;20140226;000000;92.2900000
SBER;D;20140227;000000;90.1200000
SBER;D;20140228;000000;91.1600000
SBER;D;20140303;000000;77.5700000
SBER;D;20140304;000000;81.5500000
SBER;D;20140305;000000;81.4600000
SBER;D;20140306;000000;80.2400000
SBER;D;20140307;000000;79.9900000
SBER;D;20140311;000000;76.5700000
SBER;D;20140312;000000;72.4600000
SBER;D;20140313;000000;69.8400000
SBER;D;20140314;000000;71.7500000
SBER;D;20140317;000000;76.9700000
SBER;D;20140318;000000;81.4300000
SBER;D;20140319;000000;80.8300000
SBER;D;20140320;000000;79.5000000
SBER;D;20140321;000000;78.4700000
SBER;D;20140324;000000;78.2900000
SBER;D;20140325;000000;81.8500000
SBER;D;20140326;000000;82.5600000
SBER;D;20140327;000000;79.8800000
SBER;D;20140328;000000;81.4700000
SBER;D;20140331;000000;83.8000000
SBER;D;20140401;000000;83.8800000
SBER;D;20140402;000000;82.6700000
SBER;D;20140403;000000;81.5100000
SBER;D;20140404;000000;82.9800000
SBER;D;20140407;000000;79.9500000
SBER;D;20140408;000000;79.4100000
SBER;D;20140409;000000;78.8500000
SBER;D;20140410;000000;79.9000000
SBER;D;20140411;000000;79.7500000
SBER;D;20140414;000000;78.3500000
SBER;D;20140415;000000;75.2000000
SBER;D;20140416;000000;76.1300000
SBER;D;20140417;000000;76.8900000
SBER;D;20140418;000000;78.8200000
SBER;D;20140421;000000;77.6200000
SBER;D;20140422;000000;76.3000000
SBER;D;20140423;000000;75.5600000
SBER;D;20140424;000000;73.2100000
SBER;D;20140425;000000;69.9100000
SBER;D;20140428;000000;73.3900000
SBER;D;20140429;000000;72.8000000
SBER;D;20140430;000000;72.5000000
SBER;D;20140502;000000;72.2200000
SBER;D;20140505;000000;71.9900000
SBER;D;20140506;000000;74.1000000
SBER;D;20140507;000000;78.5000000
SBER;D;20140508;000000;78.8000000
SBER;D;20140512;000000;79.0800000
SBER;D;20140513;000000;80.1500000
SBER;D;20140514;000000;81.3800000
SBER;D;20140515;000000;80.0400000
SBER;D;20140516;000000;79.2000000
SBER;D;20140519;000000;81.6200000
SBER;D;20140520;000000;82.3100000
SBER;D;20140521;000000;83.5900000
SBER;D;20140522;000000;83.2600000
SBER;D;20140523;000000;85.8300000
SBER;D;20140526;000000;86.8700000
SBER;D;20140527;000000;84.3300000
SBER;D;20140528;000000;84.9500000
SBER;D;20140529;000000;85.6500000
SBER;D;20140530;000000;84.5000000
SBER;D;20140602;000000;85.9100000
SBER;D;20140603;000000;86.8400000
SBER;D;20140604;000000;87.8100000
SBER;D;20140605;000000;87.4300000
SBER;D;20140606;000000;89.0000000
SBER;D;20140609;000000;88.8900000
SBER;D;20140610;000000;88.9900000
SBER;D;20140611;000000;89.0000000
SBER;D;20140616;000000;84.8500000
SBER;D;20140617;000000;83.8000000
SBER;D;20140618;000000;83.7700000
SBER;D;20140619;000000;84.8000000
SBER;D;20140620;000000;84.1600000
SBER;D;20140623;000000;83.6800000
SBER;D;20140624;000000;86.5000000
SBER;D;20140625;000000;84.4000000
SBER;D;20140626;000000;84.1000000
SBER;D;20140627;000000;84.3300000
SBER;D;20140630;000000;84.5000000
SBER;D;20140701;000000;84.0700000
SBER;D;20140702;000000;85.7900000
SBER;D;20140703;000000;85.3400000
SBER;D;20140704;000000;84.0000000
SBER;D;20140707;000000;85.4900000
SBER;D;20140708;000000;85.1100000
SBER;D;20140709;000000;85.2000000
SBER;D;20140710;000000;84.4700000
SBER;D;20140711;000000;84.5500000
SBER;D;20140714;000000;83.5500000
SBER;D;20140715;000000;83.0900000
SBER;D;20140716;000000;83.7800000
SBER;D;20140717;000000;81.5000000
SBER;D;20140718;000000;80.2700000
SBER;D;20140721;000000;76.5600000
SBER;D;20140722;000000;78.3000000
SBER;D;20140723;000000;77.4500000
SBER;D;20140724;000000;76.8700000
SBER;D;20140725;000000;75.1600000
SBER;D;20140728;000000;72.8200000
SBER;D;20140729;000000;73.2000000
SBER;D;20140730;000000;73.6800000
SBER;D;20140731;000000;73.6000000
SBER;D;20140801;000000;72.3700000
SBER;D;20140804;000000;72.7500000
SBER;D;20140805;000000;71.6000000
SBER;D;20140806;000000;69.0000000
SBER;D;20140807;000000;68.5000000
SBER;D;20140808;000000;70.7000000
SBER;D;20140811;000000;74.2100000
SBER;D;20140812;000000;73.3500000
SBER;D;20140813;000000;74.8400000
SBER;D;20140814;000000;74.9900000
SBER;D;20140815;000000;75.0500000
SBER;D;20140818;000000;75.1500000
SBER;D;20140819;000000;76.0000000
SBER;D;20140820;000000;76.9000000
SBER;D;20140821;000000;78.4000000
SBER;D;20140822;000000;78.3900000
SBER;D;20140825;000000;78.5600000
SBER;D;20140826;000000;77.4400000
SBER;D;20140827;000000;77.9300000
SBER;D;20140828;000000;74.5900000
SBER;D;20140829;000000;73.2100000
SBER;D;20140901;000000;73.6800000
SBER;D;20140902;000000;73.7600000
SBER;D;20140903;000000;78.5000000
SBER;D;20140904;000000;79.3900000
SBER;D;20140905;000000;80.2500000
SBER;D;20140908;000000;78.6900000
SBER;D;20140909;000000;79.4100000
SBER;D;20140910;000000;78.6700000
SBER;D;20140911;000000;76.3000000
SBER;D;20140912;000000;76.6500000
SBER;D;20140915;000000;75.6300000
SBER;D;20140916;000000;77.6000000
SBER;D;20140917;000000;78.6600000
SBER;D;20140918;000000;77.9800000
SBER;D;20140919;000000;77.4000000
SBER;D;20140922;000000;76.0000000
SBER;D;20140923;000000;77.6800000
SBER;D;20140924;000000;79.0500000
SBER;D;20140925;000000;78.0100000
SBER;D;20140926;000000;77.6000000
SBER;D;20140929;000000;76.7000000
SBER;D;20140930;000000;75.5200000
SBER;D;20141001;000000;74.2600000
SBER;D;20141002;000000;73.1500000
SBER;D;20141003;000000;73.7700000
SBER;D;20141006;000000;76.3300000
SBER;D;20141007;000000;75.3200000
SBER;D;20141008;000000;73.8000000
SBER;D;20141009;000000;73.6500000
SBER;D;20141010;000000;73.5000000
SBER;D;20141013;000000;74.2600000
SBER;D;20141014;000000;74.5500000
SBER;D;20141015;000000;73.0800000
SBER;D;20141016;000000;71.1200000
SBER;D;20141017;000000;73.1500000
SBER;D;20141020;000000;72.2500000
SBER;D;20141021;000000;72.5000000
SBER;D;20141022;000000;71.8200000
SBER;D;20141023;000000;71.5900000
SBER;D;20141024;000000;72.4900000
SBER;D;20141027;000000;72.9000000
SBER;D;20141028;000000;73.9000000
SBER;D;20141029;000000;74.0500000
SBER;D;20141030;000000;74.9800000
SBER;D;20141031;000000;76.2300000
SBER;D;20141103;000000;76.2900000
SBER;D;20141105;000000;75.6500000
SBER;D;20141106;000000;75.0500000
SBER;D;20141107;000000;75.6900000
SBER;D;20141110;000000;77.7800000
SBER;D;20141111;000000;77.3400000
SBER;D;20141112;000000;76.3200000
SBER;D;20141113;000000;74.0300000
SBER;D;20141114;000000;74.1500000
SBER;D;20141117;000000;73.9700000
SBER;D;20141118;000000;75.2100000
SBER;D;20141119;000000;73.9000000
SBER;D;20141120;000000;73.6300000
SBER;D;20141121;000000;74.3900000
SBER;D;20141124;000000;74.4000000
SBER;D;20141125;000000;74.1100000
SBER;D;20141126;000000;73.8500000
SBER;D;20141127;000000;73.0400000
SBER;D;20141128;000000;72.2500000
SBER;D;20141201;000000;73.7900000
SBER;D;20141202;000000;71.6400000
SBER;D;20141203;000000;72.0000000
SBER;D;20141204;000000;71.0400000
SBER;D;20141205;000000;68.6000000
SBER;D;20141208;000000;65.3000000
SBER;D;20141209;000000;66.2600000
SBER;D;20141210;000000;67.7700000
SBER;D;20141211;000000;65.9500000
SBER;D;20141212;000000;64.2000000
SBER;D;20141215;000000;60.1300000
SBER;D;20141216;000000;53.5000000
SBER;D;20141217;000000;59.9000000
SBER;D;20141218;000000;62.9100000
SBER;D;20141219;000000;61.4400000
SBER;D;20141222;000000;58.6000000
SBER;D;20141223;000000;54.0000000
SBER;D;20141224;000000;55.0000000
SBER;D;20141225;000000;58.7000000
SBER;D;20141226;000000;57.1300000
SBER;D;20141229;000000;54.5100000
SBER;D;20141230;000000;54.9000000
SBER;D;20150105;000000;56.3700000
SBER;D;20150106;000000;58.2800000
SBER;D;20150108;000000;65.7000000
SBER;D;20150109;000000;63.1000000
SBER;D;20150112;000000;62.9000000
SBER;D;20150113;000000;60.3100000
SBER;D;20150114;000000;60.0500000
SBER;D;20150115;000000;61.8000000
SBER;D;20150116;000000;61.9900000
SBER;D;20150119;000000;61.8000000
SBER;D;20150120;000000;60.8000000
SBER;D;20150121;000000;62.8000000
SBER;D;20150122;000000;64.3500000
SBER;D;20150123;000000;64.4500000
SBER;D;20150126;000000;60.4900000
SBER;D;20150127;000000;61.2000000
SBER;D;20150128;000000;60.6300000
SBER;D;20150129;000000;60.5000000
SBER;D;20150130;000000;61.5000000
SBER;D;20150202;000000;61.4000000
SBER;D;20150203;000000;62.0000000
SBER;D;20150204;000000;61.0400000
SBER;D;20150205;000000;62.4100000
SBER;D;20150206;000000;64.3100000
SBER;D;20150209;000000;65.5700000
SBER;D;20150210;000000;65.0000000
SBER;D;20150211;000000;65.1200000
SBER;D;20150212;000000;67.2100000
SBER;D;20150213;000000;70.6000000
SBER;D;20150216;000000;70.0000000
SBER;D;20150217;000000;72.4500000
SBER;D;20150218;000000;76.4000000
SBER;D;20150219;000000;73.7800000
SBER;D;20150220;000000;74.7500000
SBER;D;20150224;000000;73.7000000
SBER;D;20150225;000000;74.2000000
SBER;D;20150226;000000;75.9500000
SBER;D;20150227;000000;75.9100000
SBER;D;20150302;000000;76.2000000
SBER;D;20150303;000000;75.5500000
SBER;D;20150304;000000;72.3100000
SBER;D;20150305;000000;72.7000000
SBER;D;20150306;000000;73.2500000
SBER;D;20150310;000000;69.8000000
SBER;D;20150311;000000;70.6800000
SBER;D;20150312;000000;70.7900000
SBER;D;20150313;000000;67.8700000
SBER;D;20150316;000000;65.5700000
SBER;D;20150317;000000;64.6500000
SBER;D;20150318;000000;65.2600000
SBER;D;20150319;000000;64.9000000
SBER;D;20150320;000000;67.0000000
SBER;D;20150323;000000;65.0000000
SBER;D;20150324;000000;65.6000000
SBER;D;20150325;000000;64.8000000
SBER;D;20150326;000000;62.8500000
SBER;D;20150327;000000;61.0000000
SBER;D;20150330;000000;63.0100000
SBER;D;20150331;000000;62.8800000
SBER;D;20150401;000000;64.5000000
SBER;D;20150402;000000;65.9200000
SBER;D;20150403;000000;65.5000000
SBER;D;20150406;000000;68.9900000
SBER;D;20150407;000000;69.6000000
SBER;D;20150408;000000;69.4000000
SBER;D;20150409;000000;72.0000000
SBER;D;20150410;000000;71.5000000
SBER;D;20150413;000000;74.1000000
SBER;D;20150414;000000;74.0500000
SBER;D;20150415;000000;76.4900000
SBER;D;20150416;000000;76.5000000
SBER;D;20150417;000000;72.5000000
SBER;D;20150420;000000;73.5000000
SBER;D;20150421;000000;75.2400000
SBER;D;20150422;000000;73.9000000
SBER;D;20150423;000000;75.8000000
SBER;D;20150424;000000;75.7500000
SBER;D;20150427;000000;75.2000000
SBER;D;20150428;000000;75.7000000
SBER;D;20150429;000000;75.2000000
SBER;D;20150430;000000;76.9000000
SBER;D;20150505;000000;80.2100000
SBER;D;20150506;000000;79.2000000
SBER;D;20150507;000000;76.5000000
SBER;D;20150508;000000;75.5000000
SBER;D;20150512;000000;75.1900000
SBER;D;20150513;000000;75.2400000
SBER;D;20150514;000000;74.3100000
SBER;D;20150515;000000;75.0500000
SBER;D;20150518;000000;75.3600000
SBER;D;20150519;000000;73.3500000
SBER;D;20150520;000000;71.6000000
SBER;D;20150521;000000;73.2500000
SBER;D;20150522;000000;74.3500000
SBER;D;20150525;000000;74.4600000
SBER;D;20150526;000000;74.6700000
SBER;D;20150527;000000;74.2300000
SBER;D;20150528;000000;73.6000000
SBER;D;20150529;000000;73.5000000
SBER;D;20150601;000000;72.6500000
SBER;D;20150602;000000;73.9200000
SBER;D;20150603;000000;71.7200000
SBER;D;20150604;000000;71.2500000
SBER;D;20150605;000000;70.6100000
